titulo;barrio;precio;metros;habitaciones;banos;planta;ascensor;garaje;terraza;aire;amueblado;reformado;url;precio_m2;es_piso_alto;es_estudio;metros_por_habitacion;log_precio;penalizacion_sin_ascensor;score_calidad
Piso en Calle del General Pintos, Ventilla-Almenara, Madrid;Almenara;1400;67;2;1;-1;1;0;0;1;1;0;https://www.idealista.com/inmueble/110187902/;20.9;0;0;33.5;7.24422751560335;0;3
Piso en Calle de Matilde Landa, Ventilla-Almenara, Madrid;Almenara;1900;80;2;2;1;1;1;1;1;0;0;https://www.idealista.com/inmueble/106412145/;23.75;0;0;40.0;7.549609165154532;0;4
Piso en Calle de la Palmera, 12, Ventilla-Almenara, Madrid;Almenara;3000;110;2;1;-1;1;0;0;1;1;0;https://www.idealista.com/inmueble/110176227/;27.27;0;0;55.0;8.006367567650246;0;3
Piso en Avenida Córdoba, 31, Almendrales, Madrid;Almendrales;1200;71;1;1;2;1;1;1;1;0;0;https://www.idealista.com/inmueble/101629935/;16.9;0;0;71.0;7.090076835776092;0;4
Piso en Calle de Quero, 35, Aluche, Madrid;Aluche;1350;73;3;1;2;1;1;0;0;1;1;https://www.idealista.com/inmueble/110206338/;18.49;0;0;24.33;7.2078598714324755;0;4
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Aluche;990;26;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109801417/;38.08;0;1;26.0;6.897704943128636;0;2
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Aluche;990;27;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109801290/;36.67;0;1;27.0;6.897704943128636;0;2
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Aluche;990;27;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109799804/;36.67;0;1;27.0;6.897704943128636;0;2
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Aluche;990;26;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109799217/;38.08;0;1;26.0;6.897704943128636;0;2
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Aluche;990;27;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109799473/;36.67;0;1;27.0;6.897704943128636;0;2
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Aluche;990;27;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109798582/;36.67;0;1;27.0;6.897704943128636;0;2
Piso en Calle de San Manuel, 3, Aluche, Madrid;Aluche;1140;46;1;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109801201/;24.78;0;0;46.0;7.038783541388542;0;2
Estudio en Calle de San Manuel, Aluche, Madrid;Aluche;990;30;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109772454/;33.0;0;1;30.0;6.897704943128636;0;2
Piso en Calle de San Manuel, 3, Aluche, Madrid;Aluche;1140;42;1;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109772466/;27.14;0;0;42.0;7.038783541388542;0;2
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Aluche;990;27;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109776118/;36.67;0;1;27.0;6.897704943128636;0;2
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Aluche;1040;32;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109730319/;32.5;0;1;32.0;6.946975992135418;0;2
Piso en Calle Picaza, 5, Aluche, Madrid;Aluche;1495;85;4;1;1;1;0;0;0;1;0;https://www.idealista.com/inmueble/101392793/;17.59;0;0;21.25;7.3098814858247865;0;2
Piso en Calle de Calahorra, 56, Ambroz, Madrid;Ambroz;1150;65;3;1;4;1;0;1;1;1;0;https://www.idealista.com/inmueble/99978165/;17.69;1;0;21.67;7.047517221357296;0;4
Piso en Calle de Roquetas de Mar, Apóstol Santiago, Madrid;Apóstol Santiago;950;35;1;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/110198790/;27.14;0;0;35.0;6.856461984594587;0;2
