titulo;barrio;precio;metros;habitaciones;banos;planta;ascensor;garaje;terraza;aire;amueblado;reformado;url
Piso en Calle de Silva, Malasaña-Universidad, Madrid;Malasaña;2000;70;2;2;4;1;0;0;1;1;1;https://www.idealista.com/inmueble/104943588/
Ático en San Isidro, Madrid;Otros Madrid;1250;53;1;1;3;1;0;1;1;1;1;https://www.idealista.com/inmueble/109884497/
Estudio en Calle de Ríos Rosas, 54, Nuevos Ministerios-Ríos Rosas, Madrid;Ríos Rosas;1250;40;0;1;6;1;0;0;1;1;1;https://www.idealista.com/inmueble/103130697/
Piso en Palomas, Madrid;Otros Madrid;2750;172;4;2;1;1;1;0;1;0;0;https://www.idealista.com/inmueble/37165143/
Piso en Calle del Tutor, 40, Argüelles, Madrid;Argüelles;2200;90;2;2;2;1;0;0;0;1;0;https://www.idealista.com/inmueble/106761051/
Piso en Calle de Bailén, Palacio, Madrid;Palacio;1600;60;1;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/110016392/
Piso en Calle de Canarias, 31, Palos de la Frontera, Madrid;Otros Madrid;2200;85;1;2;0;1;1;0;1;1;0;https://www.idealista.com/inmueble/89074785/
Piso en de Vandergoten, Pacífico, Madrid;Pacífico;1300;72;1;1;5;1;0;0;1;1;0;https://www.idealista.com/inmueble/108505767/
Piso en Calle de las Virtudes, Almagro, Madrid;Almagro;1650;50;1;1;0;1;0;0;1;1;1;https://www.idealista.com/inmueble/110206994/
Piso en Calle del Sombrerete, Lavapiés-Embajadores, Madrid;Lavapiés;1450;40;2;1;2;1;0;0;1;1;1;https://www.idealista.com/inmueble/105775149/
Piso en Plaza Cronos, 5, Simancas, Madrid;Otros Madrid;950;65;1;1;4;1;0;0;1;1;0;https://www.idealista.com/inmueble/90126348/
Dúplex en Calle Laurin, Canillas, Madrid;Otros Madrid;2700;128;4;3;2;1;1;0;1;0;1;https://www.idealista.com/inmueble/109863929/
Piso en Avenida del General Perón, 32, Cuatro Caminos, Madrid;Cuatro Caminos;1800;63;2;1;13;1;0;1;1;1;0;https://www.idealista.com/inmueble/110206946/
Ático en Glorieta de Quevedo, Arapiles, Madrid;Arapiles;4200;130;3;2;6;1;0;1;1;1;0;https://www.idealista.com/inmueble/105935048/
Piso en Calle de Quero, 35, Aluche, Madrid;Otros Madrid;1350;73;3;1;2;1;1;0;0;1;1;https://www.idealista.com/inmueble/110206338/
Piso en Calle de Jaime Vera, Puerta del Ángel, Madrid;Puerta del Ángel;1331;100;1;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/102623435/
Piso en Calle de San Marcelo, 24, Ventas, Madrid;Ventas;1300;57;2;1;1;1;0;0;0;1;1;https://www.idealista.com/inmueble/110205927/
Piso en Calle de Athos, Puerta del Ángel, Madrid;Puerta del Ángel;1800;80;3;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/109804857/
Piso en Calle Valeria, 1, Adelfas, Madrid;Adelfas;1100;55;1;1;3;1;0;1;1;0;0;https://www.idealista.com/inmueble/110206467/
Piso en Calle del Marqués de la Ensenada, 16, Chueca-Justicia, Madrid;Justicia;1980;65;1;1;4;1;0;0;1;1;0;https://www.idealista.com/inmueble/103243220/
Estudio en Calle del Salitre, 26, Lavapiés-Embajadores, Madrid;Lavapiés;1150;40;0;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/110206274/
Ático en Calle de Alonso Cano, Nuevos Ministerios-Ríos Rosas, Madrid;Ríos Rosas;3250;120;3;2;6;1;0;1;1;0;1;https://www.idealista.com/inmueble/109768899/
Piso en Calle del Monasterio de las Batuecas, 15, Montecarmelo, Madrid;Montecarmelo;1900;106;4;2;2;1;1;1;1;0;0;https://www.idealista.com/inmueble/91545269/
Piso en Calle de Ayala, Goya, Madrid;Goya;2480;53;2;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/100374865/
Piso en Calle de Gómez de Avellaneda, 43, Pueblo Nuevo, Madrid;Pueblo Nuevo;1100;50;2;1;2;1;0;0;1;0;1;https://www.idealista.com/inmueble/110205754/
Piso en CL Padilla, Lista, Madrid;Lista;3500;123;2;2;0;1;1;0;1;1;1;https://www.idealista.com/inmueble/109622646/
Piso en Calle de San Aquilino, 32, Ventilla-Almenara, Madrid;Almenara;2000;140;3;2;3;1;0;1;1;0;0;https://www.idealista.com/inmueble/110205930/
Piso en Calle del Tutor, Argüelles, Madrid;Argüelles;2040;57;1;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/102957583/
Piso en Calle del Cardenal Cisneros, 33, Trafalgar, Madrid;Trafalgar;800;26;1;1;4;1;0;0;1;1;0;https://www.idealista.com/inmueble/110206003/
Piso en Calle de la Luna, Malasaña-Universidad, Madrid;Malasaña;5000;120;4;2;2;1;1;1;1;1;0;https://www.idealista.com/inmueble/101580197/
Ático en Calle de Bolívar, 18, Legazpi, Madrid;Legazpi;1600;67;1;1;5;1;1;1;1;0;0;https://www.idealista.com/inmueble/110206286/
Piso en Calle de Blasco de Garay, Vallehermoso, Madrid;Vallehermoso;2100;92;2;2;6;1;0;1;1;0;1;https://www.idealista.com/inmueble/93974064/
Piso en Avenida de Pablo Neruda, 114, Portazgo, Madrid;Otros Madrid;750;30;1;1;0;1;0;0;0;0;0;https://www.idealista.com/inmueble/110206824/
Piso en Paseo de la Dirección, Valdeacederas, Madrid;Valdeacederas;2060;49;1;1;2;1;1;0;1;1;0;https://www.idealista.com/inmueble/109105777/
Piso en Avenida de la Reina Victoria, 8, Bellas Vistas, Madrid;Bellas Vistas;2000;185;4;2;1;1;1;0;0;1;1;https://www.idealista.com/inmueble/30225075/
Piso en Conde Orgaz-Piovera, Madrid;Otros Madrid;3500;150;3;2;1;1;0;1;1;1;1;https://www.idealista.com/inmueble/104406558/
Piso en Calle Almuradiel, Entrevías, Madrid;Otros Madrid;1600;10;2;1;-1;1;0;0;1;1;0;https://www.idealista.com/inmueble/109714518/
Piso en Calle Matilde Téllez, 52, Tres Olivos - Valverde, Madrid;Otros Madrid;2900;129;3;2;4;1;0;1;1;1;0;https://www.idealista.com/inmueble/110181798/
Piso en Calle de Santoña, Zofío, Madrid;Otros Madrid;800;25;1;1;-1;1;0;0;1;0;1;https://www.idealista.com/inmueble/109014550/
Piso en Avenida de Alfonso XIII, Nueva España, Madrid;Nueva España;2500;70;1;1;1;1;0;1;1;1;0;https://www.idealista.com/inmueble/108826245/
Estudio en Calle de Ponce de León, Almagro, Madrid;Almagro;1100;38;0;1;-1;1;0;0;1;1;0;https://www.idealista.com/inmueble/109015535/
Piso en Calle Mayor, Palacio, Madrid;Palacio;1960;60;1;2;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/106501981/
Piso en Calle de Valderromán, Valdezarza, Madrid;Otros Madrid;1500;70;3;2;-1;1;0;0;0;1;0;https://www.idealista.com/inmueble/110206870/
Piso en Calle de Recoletos, Recoletos, Madrid;Recoletos;2320;48;1;1;4;1;0;0;1;1;0;https://www.idealista.com/inmueble/97984461/
Piso en Calle de Eugenia de Montijo, Puerta Bonita, Madrid;Otros Madrid;1100;35;1;1;-1;1;0;1;1;1;0;https://www.idealista.com/inmueble/110206868/
Piso en Gaztambide, Madrid;Gaztambide;1600;45;2;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/108669155/
Dúplex en Calle de la Infanta María Teresa, 7, Bernabéu-Hispanoamérica, Madrid;Hispanoamérica;2300;110;2;1;5;1;1;0;1;0;1;https://www.idealista.com/inmueble/98343213/
